region,total_suicides,mean_rate,std_rate,min_rate,max_rate,num_countries,latest_year
Europe,2782458,17.465878425860858,22.843624982694518,0.0,177.61,29,2016
Asia,627691,12.175032310177706,19.85932473010667,0.0,185.37,17,2016
Oceania,70468,9.983621794871794,11.629656202762485,0.0,73.65,3,2015
Americas,630026,8.890302083333333,13.771457247017764,0.0,187.06,20,2015
Africa,7363,1.4497222222222221,3.788673979130649,0.0,40.37,2,2015
